Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
last_digit_odd;../include/rounding-mode.h;43;0.7265820503234863;0-2;LSB bit-flip;1
vector;newton.c;24;0.7754955291748047;0-2;LSB bit-flip;1
vector;newton.c;24;1.2118158340454102;0-2;LSB bit-flip;1
vector;newton.c;24;0.9823713302612305;0-2;LSB bit-flip;1
vector;newton.c;24;0.6905734539031982;0-2;LSB bit-flip;1
vector;newton.c;24;0.5431702136993408;0-2;LSB bit-flip;1
vector;newton.c;24;0.9699857234954834;0-2;LSB bit-flip;1
vector;newton.c;24;0.4809610843658447;0-2;LSB bit-flip;1
vector;newton.c;24;0.9272658824920654;0-2;LSB bit-flip;1
vector;newton.c;24;0.33629941940307617;0-2;LSB bit-flip;1
vector;newton.c;24;0.8171594142913818;0-2;LSB bit-flip;1
nptr;strtod_l.c;479;0.9605329036712646;0-2;LSB bit-flip;1
vector;newton.c;24;0.32340526580810547;0-2;LSB bit-flip;1
vector;newton.c;24;0.587346076965332;0-2;LSB bit-flip;1
vector;newton.c;24;0.9346792697906494;0-2;LSB bit-flip;1
vector;newton.c;24;0.3809363842010498;0-2;LSB bit-flip;1
vector;newton.c;24;0.7534780502319336;0-2;LSB bit-flip;1
vector;newton.c;24;0.23177194595336914;0-2;LSB bit-flip;1
vector;newton.c;24;0.6777386665344238;0-2;LSB bit-flip;1
vector;newton.c;24;0.4597046375274658;0-2;LSB bit-flip;1
vector;newton.c;24;0.8638451099395752;0-2;LSB bit-flip;1
vector;newton.c;24;0.6991560459136963;0-2;LSB bit-flip;1
vector;newton.c;24;1.055884599685669;0-2;LSB bit-flip;1
vector;newton.c;24;0.4336261749267578;0-2;LSB bit-flip;1
vector;newton.c;24;0.23660683631896973;0-2;LSB bit-flip;1
vector;newton.c;24;0.46938204765319824;0-2;LSB bit-flip;1
vector;newton.c;24;0.32943177223205566;0-2;LSB bit-flip;1
vector;newton.c;24;0.6295042037963867;0-2;LSB bit-flip;1
vector;newton.c;24;0.4377171993255615;0-2;LSB bit-flip;1
vector;newton.c;24;0.5417933464050293;0-2;LSB bit-flip;1
exponent;strtod_l.c;484;0.3263864517211914;0-2;LSB bit-flip;1
vector;newton.c;24;0.2404637336730957;0-2;LSB bit-flip;1
vector;newton.c;24;0.45517683029174805;0-2;LSB bit-flip;1
nptr;strtod_l.c;479;0.765981912612915;0-2;LSB bit-flip;1
vector;newton.c;24;0.4076192378997803;0-2;LSB bit-flip;1
vector;newton.c;24;0.7937474250793457;0-2;LSB bit-flip;1
vector;newton.c;24;0.6653931140899658;0-2;LSB bit-flip;1
vector;newton.c;24;0.8741047382354736;0-2;LSB bit-flip;1
vector;newton.c;24;0.6677346229553223;0-2;LSB bit-flip;1
vector;newton.c;24;0.9639053344726562;0-2;LSB bit-flip;1
vector;newton.c;24;0.3823258876800537;0-2;LSB bit-flip;1
vector;newton.c;24;0.8262999057769775;0-2;LSB bit-flip;1
vector;newton.c;24;0.36492156982421875;0-2;LSB bit-flip;1
vector;newton.c;24;0.5444471836090088;0-2;LSB bit-flip;1
vector;newton.c;24;0.556333065032959;0-2;LSB bit-flip;1
vector;newton.c;24;0.8037118911743164;0-2;LSB bit-flip;1
vector;newton.c;24;0.6052608489990234;0-2;LSB bit-flip;1
vector;newton.c;24;0.36388540267944336;0-2;LSB bit-flip;1
exponent;strtod_l.c;484;1.2693488597869873;0-2;LSB bit-flip;1
vector;newton.c;24;0.406508207321167;0-2;LSB bit-flip;1
vector;newton.c;24;1.0906457901000977;0-2;LSB bit-flip;1
vector;newton.c;24;0.7341234683990479;0-2;LSB bit-flip;1
vector;newton.c;24;0.9285576343536377;0-2;LSB bit-flip;1
vector;newton.c;24;1.1053452491760254;0-2;LSB bit-flip;1
vector;newton.c;24;0.5424511432647705;0-2;LSB bit-flip;1
vector;newton.c;24;0.4422600269317627;0-2;LSB bit-flip;1
vector;newton.c;24;0.21744823455810547;0-2;LSB bit-flip;1
vector;newton.c;24;0.33005475997924805;0-2;LSB bit-flip;1
vector;newton.c;24;0.6154541969299316;0-2;LSB bit-flip;1
vector;newton.c;24;0.964022159576416;0-2;LSB bit-flip;1
endptr;strtod_l.c;479;1.248624324798584;0-2;LSB bit-flip;1
vector;newton.c;24;0.2875840663909912;0-2;LSB bit-flip;1
vector;newton.c;24;0.5808243751525879;0-2;LSB bit-flip;1
vector;newton.c;24;0.8600444793701172;0-2;LSB bit-flip;1
vector;newton.c;24;1.0193102359771729;0-2;LSB bit-flip;1
vector;newton.c;24;0.37555384635925293;0-2;LSB bit-flip;1
vector;newton.c;24;0.33063244819641113;0-2;LSB bit-flip;1
vector;newton.c;24;0.4102039337158203;0-2;LSB bit-flip;1
vector;newton.c;24;0.8648078441619873;0-2;LSB bit-flip;1
vector;newton.c;24;0.2855207920074463;0-2;LSB bit-flip;1
vector;newton.c;24;1.0959079265594482;0-2;LSB bit-flip;1
vector;newton.c;24;0.773392915725708;0-2;LSB bit-flip;1
vector;newton.c;24;0.8390517234802246;0-2;LSB bit-flip;1
vector;newton.c;24;0.299701452255249;0-2;LSB bit-flip;1
vector;newton.c;24;0.5705375671386719;0-2;LSB bit-flip;1
vector;newton.c;24;0.5435178279876709;0-2;LSB bit-flip;1
vector;newton.c;24;0.5510339736938477;0-2;LSB bit-flip;1
vector;newton.c;24;1.1360011100769043;0-2;LSB bit-flip;1
vector;newton.c;24;0.354931116104126;0-2;LSB bit-flip;1
vector;newton.c;24;0.8752529621124268;0-2;LSB bit-flip;1
vector;newton.c;24;0.38773179054260254;0-2;LSB bit-flip;1
vector;newton.c;24;1.1464529037475586;0-2;LSB bit-flip;1
vector;newton.c;24;0.3489236831665039;0-2;LSB bit-flip;1
vector;newton.c;24;0.8989253044128418;0-2;LSB bit-flip;1
vector;newton.c;24;0.4055047035217285;0-2;LSB bit-flip;1
vector;newton.c;24;0.630164384841919;0-2;LSB bit-flip;1
vector;newton.c;24;0.8832824230194092;0-2;LSB bit-flip;1
vector;newton.c;24;0.8776178359985352;0-2;LSB bit-flip;1
vector;newton.c;24;0.9581418037414551;0-2;LSB bit-flip;1
vector;newton.c;24;0.9280683994293213;0-2;LSB bit-flip;1
nptr;strtod_l.c;479;0.6274232864379883;0-2;LSB bit-flip;1
vector;newton.c;24;0.3754098415374756;0-2;LSB bit-flip;1
vector;newton.c;24;0.2878077030181885;0-2;LSB bit-flip;1
