Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
user_entry;../elf/dl-sysdep.c;89;0.34412288665771484;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.3931283950805664;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8502671718597412;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.40529751777648926;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7396345138549805;0-2;LSB bit-flip
s_args2;newton.c;85;0.7349333763122559;0-2;LSB bit-flip
s_args1;newton.c;85;1.6405482292175293;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.28966522216796875;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6315276622772217;0-2;LSB bit-flip
s_args2;newton.c;85;0.4730415344238281;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.1174938678741455;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.20065069198608398;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.4406113624572754;0-2;LSB bit-flip
s_args1;newton.c;85;1.4201385974884033;0-2;LSB bit-flip
s_args1;newton.c;85;1.5853245258331299;0-2;LSB bit-flip
argc;newton.c;79;1.1105000972747803;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.24504661560058594;0-2;LSB bit-flip
s_args1;newton.c;85;1.0709245204925537;0-2;LSB bit-flip
s_args1;newton.c;85;0.7528588771820068;0-2;LSB bit-flip
s_args1;newton.c;85;0.778292179107666;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7902381420135498;0-2;LSB bit-flip
s_args2;newton.c;85;0.9061245918273926;0-2;LSB bit-flip
s_args1;newton.c;85;0.8604302406311035;0-2;LSB bit-flip
s_args1;newton.c;85;0.996201753616333;0-2;LSB bit-flip
s_args2;newton.c;85;0.35837817192077637;0-2;LSB bit-flip
s_args1;newton.c;85;0.9271457195281982;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7623353004455566;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8334429264068604;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.16907072067260742;0-2;LSB bit-flip
s_args1;newton.c;85;1.3994362354278564;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.26604700088500977;0-2;LSB bit-flip
s_args1;newton.c;85;0.6950528621673584;0-2;LSB bit-flip
s_args2;newton.c;85;1.4854097366333008;0-2;LSB bit-flip
s_args2;newton.c;85;0.6025185585021973;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.596912145614624;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.7366118431091309;0-2;LSB bit-flip
s_args2;newton.c;85;0.3884439468383789;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.9409031867980957;0-2;LSB bit-flip
s_args1;newton.c;85;1.3238306045532227;0-2;LSB bit-flip
argv;newton.c;79;0.5142264366149902;0-2;LSB bit-flip
s_args2;newton.c;85;0.3256564140319824;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.103543996810913;0-2;LSB bit-flip
s_args2;newton.c;85;0.491518497467041;0-2;LSB bit-flip
s_args1;newton.c;85;0.7586438655853271;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0641860961914062;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.3344242572784424;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.8287231922149658;0-2;LSB bit-flip
s_args1;newton.c;85;0.7224612236022949;0-2;LSB bit-flip
s_args2;newton.c;85;0.4348282814025879;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.4115884304046631;0-2;LSB bit-flip
s_args1;newton.c;85;0.2630007266998291;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8824379444122314;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5559704303741455;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.20077824592590332;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.5957601070404053;0-2;LSB bit-flip
s_args1;newton.c;85;0.5982370376586914;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.6393091678619385;0-2;LSB bit-flip
s_args1;newton.c;85;0.4001648426055908;0-2;LSB bit-flip
s_args2;newton.c;85;0.46436643600463867;0-2;LSB bit-flip
s_args1;newton.c;85;1.0951194763183594;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1118004322052002;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0242199897766113;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.3714444637298584;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.43540501594543457;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5197105407714844;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.656714916229248;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6611287593841553;0-2;LSB bit-flip
s_args1;newton.c;85;0.5206618309020996;0-2;LSB bit-flip
s_args1;newton.c;85;0.43970274925231934;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;1.069082498550415;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.705681562423706;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.2547609806060791;0-2;LSB bit-flip
id2;newton.c;84;0.9749839305877686;0-2;LSB bit-flip
s_args1;newton.c;85;1.2615137100219727;0-2;LSB bit-flip
s_args2;newton.c;85;1.1960818767547607;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.9559543132781982;0-2;LSB bit-flip
argc;newton.c;79;0.6451444625854492;0-2;LSB bit-flip
_buffer;pthread_join.c;62;1.2131884098052979;0-2;LSB bit-flip
argc;newton.c;79;0.28214573860168457;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.6201624870300293;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.43281054496765137;0-2;LSB bit-flip
s_args2;newton.c;85;1.274789810180664;0-2;LSB bit-flip
id1;newton.c;84;1.1024959087371826;0-2;LSB bit-flip
s_args2;newton.c;85;0.5091822147369385;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.3044095039367676;0-2;LSB bit-flip
s_args2;newton.c;85;1.2842772006988525;0-2;LSB bit-flip
s_args2;newton.c;85;0.6862070560455322;0-2;LSB bit-flip
s_args2;newton.c;85;1.4577507972717285;0-2;LSB bit-flip
s_args2;newton.c;85;1.3529908657073975;0-2;LSB bit-flip
s_args1;newton.c;85;0.9004158973693848;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.2115015983581543;0-2;LSB bit-flip
s_args2;newton.c;85;0.5879123210906982;0-2;LSB bit-flip
id1;newton.c;84;0.5816445350646973;0-2;LSB bit-flip
s_args1;newton.c;85;1.2666497230529785;0-2;LSB bit-flip
s_args2;newton.c;85;1.5087430477142334;0-2;LSB bit-flip
s_args2;newton.c;85;0.5506703853607178;0-2;LSB bit-flip
argc;newton.c;79;0.6029210090637207;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.48233985900878906;0-2;LSB bit-flip
_buffer;pthread_join.c;62;1.1777393817901611;0-2;LSB bit-flip
s_args2;newton.c;85;0.812608003616333;0-2;LSB bit-flip
_buffer;pthread_join.c;62;1.22684645652771;0-2;LSB bit-flip
argc;newton.c;79;1.165140151977539;0-2;LSB bit-flip
s_args1;newton.c;85;0.826838493347168;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.6854894161224365;0-2;LSB bit-flip
s_args1;newton.c;85;1.2982287406921387;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.7623624801635742;0-2;LSB bit-flip
_buffer;pthread_join.c;62;1.1688454151153564;0-2;LSB bit-flip
s_args2;newton.c;85;0.804563045501709;0-2;LSB bit-flip
id1;newton.c;84;1.0525498390197754;0-2;LSB bit-flip
argv;newton.c;79;0.6434149742126465;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.9380691051483154;0-2;LSB bit-flip
id2;newton.c;84;1.0360345840454102;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.44019222259521484;0-2;LSB bit-flip
id2;newton.c;84;1.1202466487884521;0-2;LSB bit-flip
id2;newton.c;84;1.2097089290618896;0-2;LSB bit-flip
s_args2;newton.c;85;0.6787114143371582;0-2;LSB bit-flip
s_args2;newton.c;85;1.2776556015014648;0-2;LSB bit-flip
id2;newton.c;84;0.35265517234802246;0-2;LSB bit-flip
_buffer;pthread_join.c;62;1.1991941928863525;0-2;LSB bit-flip
s_args1;newton.c;85;0.8201019763946533;0-2;LSB bit-flip
_buffer;pthread_join.c;62;1.2888598442077637;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.5357511043548584;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.4750056266784668;0-2;LSB bit-flip
s_args1;newton.c;85;1.0969264507293701;0-2;LSB bit-flip
s_args2;newton.c;85;1.2513353824615479;0-2;LSB bit-flip
id2;newton.c;84;0.7058641910552979;0-2;LSB bit-flip
s_args2;newton.c;85;1.171013355255127;0-2;LSB bit-flip
